Nome;Idade;Peso (kg);Altura (m)
Gabrielly Cardoso;14/09/2019;89.55;1.48
Laura Souza;02/03/1928;62.39;1.76
Dra. Melissa Peixoto;06/08/1972;117.06;1.86
Isadora Gomes;02/07/1930;88.98;1.79
Manuela Ribeiro;21/12/1967;73.65;1.5
Leonardo Ramos;25/08/1901;141.82;1.9
Beatriz da Costa;20/11/1937;83.45;1.74
Emanuel Correia;23/05/2008;142.85;2.04
Amanda Pinto;17/05/1962;127.39;1.85
Srta. Lav°nia Fogaáa;12/04/2005;131.25;1.86
Bryan Cavalcanti;05/01/1985;135.21;1.57
Olivia Farias;28/08/1949;79.96;1.54
Brenda Farias;03/04/1925;61.91;1.84
Maria Novaes;13/06/2015;40.34;1.45
Olivia Moraes;16/02/2023;84.44;2.08
Dra. Juliana Almeida;30/07/1957;122.59;2.09
Maria Cardoso;21/11/1964;130.56;1.79
Dra. Sofia Moura;17/04/2019;79.77;1.73
Isabelly Cunha;08/06/1942;51.44;1.53
Ana Vit¢ria Moraes;19/09/1948;103.45;2.01
Ana Luiza Gonáalves;20/05/1904;105.62;1.46
Gabriela Almeida;01/02/2012;118.72;1.51
Ana Laura Fogaáa;29/10/2012;133.83;1.68
Levi Nunes;28/01/2024;72.21;1.51
Eloah Castro;22/04/1925;112.35;1.98
Luiza Rodrigues;29/04/1910;55.41;1.63
Gustavo Silveira;10/10/2006;101.41;1.89
Sofia Cunha;07/07/1970;143.79;1.92
Luiza da Mota;12/04/1943;121.44;1.51
Theo da Mata;16/06/1911;79.21;1.73
Sabrina Jesus;16/08/1987;149.33;1.99
Maysa Costela;24/11/1984;131.9;1.95
Clarice da Conceiá∆o;19/03/1970;49.67;1.4
Srta. Olivia Cardoso;02/03/2007;58.43;1.96
Sophia da Paz;05/10/1958;136.57;1.65
Guilherme Cardoso;10/02/1911;54.61;1.47
Jo∆o Guilherme Pinto;30/05/2018;46.83;1.82
Enzo Arag∆o;27/07/1956;90.02;1.68
Lucca Caldeira;10/07/1915;138.88;1.44
Pietro Rodrigues;11/07/2015;81.11;1.41
Mariane Santos;05/03/1938;99.83;1.8
Dra. Maria Sophia Ferreira;06/05/1901;111.36;1.58
Ana Vit¢ria Freitas;30/03/1986;103.85;1.83
Clara Cardoso;29/08/2013;100.35;1.5
Jo∆o Vitor Teixeira;29/09/1910;118.11;1.77
Sra. Larissa Novaes;26/09/2011;45;2.1
Jo∆o Felipe Nogueira;07/08/1943;60.61;1.83
Rafael Moura;28/04/1993;118.31;1.65
Ana Barbosa;14/03/1989;134.38;1.42
Davi Luiz Almeida;24/08/1941;74.3;1.41
Ot†vio Barbosa;29/12/2022;64.8;2.01
Gabriel Castro;15/04/1929;147.41;2
Maria Fernanda Martins;05/02/1965;147.96;2.03
Raul Farias;07/09/2006;89.51;1.87
Emanuelly Cardoso;24/01/1985;138.64;1.47
Mariane da Mota;29/12/1974;135.04;2
Lucas Gabriel Silva;18/04/1945;51.56;1.43
Cauà Pereira;20/08/1912;50.43;1.88
Jo∆o Alves;25/12/2020;71.48;1.85
Pedro Lucas da Conceiá∆o;21/02/2017;93.33;2.08
Cec°lia Costa;08/02/1970;79.22;2.1
Milena Almeida;02/11/2024;127.87;1.94
Ot†vio Cavalcanti;22/12/1948;105.14;1.77
Vicente Nogueira;23/06/1944;145.66;1.77
Vitor Hugo Costela;11/06/1929;149.7;1.88
Luiz Henrique Martins;26/11/1955;144.05;1.68
Luna da Luz;05/10/1973;97.7;1.48
Emanuella da Rocha;21/03/1925;96.55;1.95
Davi Porto;15/06/1986;122.66;1.61
Jo∆o Lucas Viana;05/04/1963;146.76;1.47
Pietra Souza;30/04/1917;79.83;2.01
Breno Ramos;13/02/1985;149.12;1.42
Sra. Laura Pires;05/01/1948;40.26;1.9
Larissa Nunes;10/07/1958;111.28;1.76
Yuri da Cruz;28/03/1936;40.68;2.05
La°s Martins;10/12/1900;97.46;1.77
Luna Jesus;05/10/1936;86.82;2
Vitor Gabriel Barbosa;29/08/1920;130.84;1.44
AndrÇ Nunes;01/03/1955;51.58;1.59
Srta. Rafaela Barbosa;18/07/1968;116.78;1.94
Pedro Miguel Costa;10/01/2021;79.27;1.95
Sra. Catarina Souza;20/01/1925;106.46;1.78
Giovanna Lima;07/04/1978;88.91;1.72
Henrique Campos;02/07/1954;83.74;1.86
Dra. Al°cia Souza;06/11/1937;130.43;1.51
Cauà Moreira;28/03/1966;95.21;1.48
Pietro Oliveira;19/10/1955;96.67;2.06
Dra. Melissa Oliveira;14/06/1927;62.21;2.03
Sra. Joana Moraes;11/01/1959;117.77;1.74
Caroline Moura;21/04/1918;111.76;1.46
Sra. Alana da Rosa;21/04/1948;45.31;1.59
Enrico Barros;17/01/1935;44.55;2.07
Isadora Costa;28/01/1908;68.71;1.42
Cec°lia da Cruz;01/05/1932;108.77;1.8
Yasmin Barbosa;23/02/1976;45.72;2.07
Enrico Novaes;06/08/1983;63.85;1.55
Enzo Gabriel Moraes;23/06/1934;134.78;2.08
Luigi Azevedo;21/03/1910;103.36;1.76
Sra. Esther da Cunha;16/03/1984;59.42;1.42
Dra. Alice Silveira;10/03/2014;97.64;1.87
Ana Laura Cunha;15/03/1908;61.75;1.61
Mariana Caldeira;12/10/1990;89.97;1.96
Manuela Costela;28/10/1984;62.17;2.09
Alexandre Cardoso;08/02/2014;58.16;1.89
Srta. Carolina Moraes;25/02/1944;88.04;2.06
Carolina Lopes;15/02/1901;124.75;1.83
Vicente Correia;20/03/1923;115.35;1.61
Luiz Miguel Souza;10/10/1978;47.81;1.55
Eloah Duarte;22/02/1911;124.58;1.96
Maria Luiza Viana;16/05/1923;40.38;1.93
Ana Lima;12/11/1932;44.44;2
Gabrielly Ramos;27/10/1955;128.45;1.61
Luiz Felipe Moraes;08/03/2019;46.26;1.45
Srta. Ana Vit¢ria Nogueira;15/02/2013;66.83;1.81
Alexia Fogaáa;19/07/1996;56.47;1.99
Gabriela da Rocha;12/03/1998;76.85;1.66
Samuel Ferreira;26/07/1972;101.57;1.83
Enrico Gonáalves;15/08/1923;48.27;1.63
Pietra Novaes;12/07/2004;112.99;1.66
Ian Gomes;06/03/1954;95.7;1.82
Clarice Cardoso;06/11/1946;50.66;1.81
Pietra Barbosa;12/12/1966;94.03;1.44
Amanda Souza;13/04/1976;57.37;1.62
Bryan Pires;19/10/1902;120.42;2.01
Thiago Rodrigues;21/02/1978;41.27;1.83
J£lia Cardoso;11/10/1943;129.14;1.63
Luiz Fernando Sales;12/04/1991;77.48;1.55
Arthur Ramos;27/08/1905;53.09;1.76
Catarina Duarte;15/01/2019;130.97;1.69
Sra. B†rbara Carvalho;22/08/1917;60.36;1.61
Benjamin Cunha;29/06/1949;101.21;1.44
Isadora Silva;24/06/1905;46.75;2.03
Valentina Farias;04/10/1926;148.17;2.06
Paulo Rezende;11/03/1955;97.55;1.82
Jo∆o Guilherme da Costa;22/11/1953;105.1;1.95
Leandro da Conceiá∆o;06/03/1932;46.18;1.41
Olivia Cardoso;01/08/1942;59.42;1.72
Olivia da Conceiá∆o;04/01/1967;114.29;1.55
Dra. Maria Cec°lia Dias;06/05/1920;126.88;1.75
Pietro Jesus;21/05/1909;85.85;1.92
Melissa Azevedo;01/07/1942;108.18;1.81
Catarina da Luz;01/02/1984;120.83;1.96
Alana Jesus;11/01/1984;80.69;1.43
Mariane Cavalcanti;11/07/1978;62.09;1.42
Rafaela da Paz;20/01/1957;90.49;1.93
Renan Jesus;14/05/2009;94.86;1.97
Mirella Carvalho;28/04/2020;57.4;2.01
Beatriz Dias;21/05/2024;105.46;1.94
Eduardo Freitas;18/11/1947;137.88;1.45
Camila da Cruz;10/03/2010;144.05;1.67
Jo∆o Lucas das Neves;06/03/1946;125.31;1.85
Evelyn Arag∆o;29/07/1982;45.63;2.08
Yago Jesus;24/10/1935;66.04;1.53
Kamilly Peixoto;04/12/1965;136.79;1.55
Yasmin Almeida;16/07/1938;59.4;2.05
Matheus Novaes;03/10/1910;80.54;1.51
Danilo da Paz;05/04/1944;74.27;1.99
Ot†vio da Cunha;13/06/1908;43.7;1.93
Murilo Jesus;19/06/1986;132.7;1.75
Mariane Cavalcanti;08/07/2007;77.96;2.02
Leonardo Mendes;01/08/2011;51.44;1.59
Emanuella Campos;15/07/1951;89.87;1.85
Luigi Sales;05/02/1907;123.83;1.93
Dra. Lara da Paz;22/07/1901;58.01;1.44
Isabelly Porto;22/02/2023;56.55;1.48
Daniel Monteiro;13/04/1915;105.76;1.67
Calebe Farias;09/02/1972;123.16;1.72
La°s Barros;04/03/2009;84.8;2.02
Srta. Maria Julia da Luz;24/03/1924;76.41;1.89
Danilo Cavalcanti;02/10/1989;61.96;2.1
Ben°cio da Luz;02/07/1970;129.1;1.98
Erick da Luz;20/06/2000;107.91;1.54
Nina da Cruz;28/06/1942;94.39;2.02
Isaac Freitas;30/12/2014;105.28;1.61
Davi Lucas Moraes;02/04/1900;88.79;1.4
Srta. Rafaela Souza;22/11/2006;148.86;1.88
Jo∆o Lucas Monteiro;07/12/1934;64.76;1.46
AndrÇ Farias;12/03/2000;137.93;1.45
Kaique da Rosa;27/11/2007;72.02;2.06
Cauà Pereira;06/07/2020;127.32;1.49
Carlos Eduardo Azevedo;13/10/1927;69.08;1.84
Thiago Oliveira;06/10/1984;67.94;1.66
B†rbara Azevedo;08/08/1939;78.43;1.9
Cauà Campos;02/06/1931;52.28;2.02
Daniel Nogueira;02/04/1973;43.65;2.06
Emanuelly Gonáalves;23/04/1929;66.64;1.72
Ana Beatriz Pires;09/10/1953;130.29;1.76
Srta. Eduarda Viana;25/10/2007;76.68;1.87
Leonardo Santos;12/11/1996;120.21;1.6
Luana Rocha;20/08/1993;126.99;1.47
Pedro Moraes;07/07/1910;68.51;1.66
Augusto Vieira;04/04/2013;47.81;1.54
Carlos Eduardo da Luz;07/10/1911;127.64;1.56
Dra. Maria Julia Fernandes;28/02/1987;77.35;1.97
Sophia Moura;06/04/1974;91.49;1.95
Catarina Silveira;29/03/1907;109.25;1.83
Julia Cardoso;30/08/1967;142.67;1.88
Noah Moraes;23/02/1938;41.01;1.66
Maria Julia Sales;14/09/1960;123.16;1.77
Maysa Caldeira;09/10/1995;63.12;1.57
Theo Costa;16/08/1950;138.32;1.89
Marcos Vinicius Martins;03/09/1956;71.83;1.62
Anthony Pires;01/06/2009;55.63;1.67
Maria Sophia Souza;31/05/2004;72.43;1.69
Gabriel das Neves;27/03/1956;74.48;1.85
Eloah Teixeira;17/10/1986;107.79;1.81
Clara da Paz;15/01/2007;82.39;1.72
Maysa Peixoto;08/11/1931;51.7;1.6
Heitor Porto;07/04/2002;120.01;1.83
Let°cia da Conceiá∆o;24/06/1988;126.92;1.69
Sra. L°via Cardoso;06/01/1910;88.06;2.02
Thales Souza;14/03/2013;102.21;1.76
Henrique Rezende;31/12/1934;74.7;2.1
Sarah Freitas;20/06/1926;80.92;1.59
Luiz Fernando Duarte;14/11/1942;118.63;2.05
Arthur Alves;21/07/1902;58.79;1.44
Ana Beatriz da Cunha;12/04/1948;141.45;1.87
Giovanna Novaes;01/01/1970;128.61;1.71
Daniela Nunes;23/02/1992;50.79;1.91
Davi Lucca Arag∆o;07/04/1911;124.98;1.7
Lorenzo Silveira;01/06/1974;40.17;1.61
Enzo Gabriel da Paz;19/07/1948;118.47;2.1
Vicente Santos;22/07/1910;141.72;1.83
B†rbara da Cunha;04/04/1903;133.99;1.99
Helo°sa Pires;02/01/1935;60.89;1.86
Pedro Henrique Mendes;20/05/1997;141.45;1.94
Manuela Cavalcanti;05/08/2008;82.35;1.95
Theo Freitas;01/10/2020;93.52;1.43
Isabel Gomes;08/02/1967;81.49;1.63
Rodrigo Gomes;12/03/2004;94.71;1.79
Srta. Maria Vit¢ria da Cunha;26/03/1903;136.92;1.86
Lucas Lima;12/12/1971;146.1;1.51
Davi Costela;31/08/2000;94.47;1.7
Nathan Pereira;06/08/2001;68.69;1.74
Luna Cardoso;31/08/1924;52.67;1.44
Melissa Ribeiro;20/06/1937;53.41;1.63
Leandro Dias;07/11/2004;100.74;1.93
Benjamin Moreira;13/07/1908;117.28;1.61
Marcelo Caldeira;10/11/1982;112.92;2.07
Clarice Arag∆o;27/02/1956;145.43;1.52
Cec°lia Moraes;25/06/1920;125.07;1.94
Juliana Fogaáa;18/08/1907;45.18;1.83
Raul Costa;17/07/1965;47.81;1.55
Beatriz Ferreira;11/02/1965;129.15;2.05
Lucca Campos;20/11/1950;145.88;1.95
Bernardo Viana;12/10/1962;138.13;1.53
Maria Sophia Oliveira;03/09/1962;107.45;1.45
Helena Ara£jo;20/09/2024;77.15;1.74
Luigi Cunha;25/04/2016;124.83;1.72
Bryan da Mata;02/02/1926;102.08;1.62
Sra. Al°cia Teixeira;22/08/1942;137.47;2.06
Eloah Dias;15/04/1981;95.7;1.48
Emilly Pires;04/09/1978;116.73;1.84
Yuri Souza;12/05/1962;114.13;1.63
Srta. Mariana da Mota;08/12/1963;78.93;1.72
Matheus Jesus;18/12/1921;144.98;2.1
Luiza da Paz;26/02/1927;50.07;1.88
Catarina Silva;07/01/1928;61.25;1.77
Dra. Nina Castro;28/04/2019;64.88;1.89
Enzo Gabriel Ferreira;24/01/1963;147.2;1.6
Lucas Campos;13/05/1983;51.85;1.77
Gustavo Gonáalves;03/04/1961;88.69;1.45
Davi Lucas Viana;29/05/2021;118.05;1.96
L°via Mendes;12/03/1973;49.11;1.97
Nat†lia Nogueira;14/01/1968;64.81;1.9
Olivia das Neves;03/08/1920;87.9;1.94
Ot†vio Cunha;14/03/1928;108.9;1.8
Clara Pinto;06/09/1956;134.68;1.62
Clara Vieira;14/05/1965;112.81;1.65
Rodrigo Fogaáa;21/11/2017;48.51;1.96
Luiz Miguel Campos;13/10/1928;119.06;1.99
Isabella Santos;09/08/1933;86.34;1.93
Sophie Ara£jo;21/11/1985;95.34;1.41
Isabelly Freitas;23/09/1969;97.52;1.64
Paulo Rezende;28/03/1934;128.65;1.7
Maria Cec°lia Lopes;31/07/1936;72.27;2.01
Larissa Moraes;09/12/1992;96.13;1.83
Erick Gomes;16/09/2007;131.16;1.79
Juan Nogueira;04/04/1937;129.63;1.93
Gabriel Lima;30/09/1944;99.33;1.77
Pietro Campos;20/03/2004;73.66;2
Vinicius da Mota;17/04/1943;88.49;1.79
Juliana Nogueira;10/07/1984;95.52;1.55
Manuela Azevedo;26/06/1986;100.55;2.07
Nicole Ramos;24/01/1906;134.47;1.69
Stella Freitas;07/02/1991;130.96;1.69
Caio Farias;10/11/1953;97.69;1.64
Pedro Correia;13/02/2016;85.48;1.86
Emanuel Porto;03/10/2000;103.88;1.84
Marcos Vinicius Porto;12/10/2002;147.73;1.42
Diego da Cunha;25/10/1901;81.48;2.01
Guilherme Azevedo;01/05/1970;48;1.69
Paulo Castro;06/11/1971;118.01;1.57
Ben°cio Campos;28/01/2006;132.36;2.09
Ana L°via Almeida;09/11/1943;107;1.66
Gabrielly Santos;06/11/2018;103.87;1.6
L°via Moura;10/01/2004;114.74;1.86
Yasmin Rocha;02/12/1921;56.44;1.67
Sofia Viana;18/06/2022;53.49;1.97
Vitor Gabriel Campos;23/12/1942;115.22;2.08
Jo∆o Vitor Costela;04/02/1917;75.5;1.41
Matheus Peixoto;22/07/2023;57.53;1.94
Ana Laura Moraes;03/07/1931;53.91;1.62
Felipe Mendes;16/03/1932;106.74;1.66
Erick Teixeira;08/05/1935;114.1;1.99
Isaac Santos;24/12/1955;126.33;1.81
Breno Jesus;09/01/1969;93.8;1.41
Pedro Henrique Rocha;14/09/1924;51.23;1.94
Emilly da Costa;08/02/1965;96.94;2.06
Brenda Cunha;11/10/1994;147.82;1.62
Dra. Alexia Ramos;03/03/1944;77.2;2.04
Diego Lima;14/05/1977;90.63;1.64
Amanda Dias;28/02/1979;122.63;1.97
Lucca Novaes;08/02/1900;90.6;1.91
Dra. Maria Luiza da Rosa;06/03/1940;89.59;1.61
Murilo Mendes;24/04/1955;50.56;1.93
Milena Nogueira;20/06/1945;43.29;2.1
Marcelo Arag∆o;01/03/1931;50.61;1.47
Ana Laura Nogueira;04/04/2009;60.93;1.92
Gustavo Souza;11/09/1962;139.26;1.65
Augusto Silveira;22/04/1947;127.55;1.93
Gustavo Henrique Azevedo;03/09/1986;105.83;1.86
Henrique Jesus;10/05/1913;92.48;1.63
Melissa Barbosa;28/02/2017;115.69;1.56
Diogo Silva;05/02/1968;65.71;1.93
Alana da Costa;15/08/1906;112.27;1.44
Jo∆o Felipe Mendes;05/11/1918;109.15;2
Kevin Fogaáa;27/01/1994;58.29;1.6
Esther Pires;18/09/2020;77.17;1.72
Joaquim Oliveira;26/06/2017;57.08;1.78
Luiz Henrique Pinto;08/10/1992;110.35;1.65
Bianca Castro;18/03/1929;61.55;1.87
Emanuelly Nogueira;20/11/2020;143.81;2.06
Sarah Cavalcanti;24/02/1952;93.04;1.62
Eloah Rocha;30/06/2015;106.15;1.78
Francisco Pires;24/10/1954;144.35;2.09
Srta. Eloah Alves;18/03/1985;75.79;2.08
Nat†lia Alves;17/09/1939;133.13;1.78
Dra. Ana Beatriz Gonáalves;26/08/1983;109.87;1.46
Fernando Peixoto;06/11/1942;91.98;1.97
Marcos Vinicius Correia;02/01/2016;68.1;1.55
Joana Duarte;03/03/1938;77.11;1.67
Rafael Correia;16/12/1928;136.53;2.06
Maria Sophia da Mata;14/08/1927;80.43;2.03
Juan Correia;30/03/1946;85.15;2.09
Brenda Campos;04/12/1959;122.59;2.06
Noah Rocha;12/02/1993;49.47;1.41
Felipe Alves;16/03/1991;127.25;2.06
Dra. Brenda Nunes;03/02/2001;146.67;1.66
Amanda Viana;15/07/1917;136.64;2.07
Olivia Martins;27/04/2007;93.35;1.77
Jo∆o Vitor Almeida;03/04/1957;134.59;1.89
Ian das Neves;08/06/1962;132.41;1.62
Gustavo Henrique Sales;24/04/1967;66.5;2.08
Luiz Henrique Cavalcanti;08/05/2022;129.85;1.87
Gustavo Viana;13/01/1902;53.04;2.01
Arthur Castro;18/09/1932;103.52;1.75
Maria Viana;10/10/1906;63.38;1.6
Lara Rocha;28/09/1914;126.83;2.09
Sra. Sophie Nogueira;15/03/1989;46.55;1.91
Ana Julia Arag∆o;16/02/2011;107.15;1.8
Heitor Fogaáa;27/07/1972;58.61;2.02
Raul da Cruz;06/08/1904;93.03;1.78
Srta. Giovanna Gomes;23/06/1952;95.53;1.51
Enzo Pinto;12/08/1930;102.24;1.81
Arthur Ferreira;08/04/2004;146.84;1.67
Calebe Lima;13/04/1947;47.61;1.67
Cec°lia Castro;30/08/1954;114.35;1.71
Raul Oliveira;25/01/2015;62.67;1.93
Pedro Miguel Alves;04/01/1960;115.26;1.85
Thiago Carvalho;17/09/1993;149.81;1.86
Gustavo Barbosa;23/12/2013;76.68;1.67
Dra. Brenda Lima;03/03/1997;129.65;1.43
B†rbara Mendes;04/07/1963;74.07;1.63
Miguel Viana;05/02/1989;88.05;2.07
Lav°nia Cardoso;19/12/1905;65.14;1.85
Dra. Olivia Cardoso;24/06/1937;145.7;1.66
AndrÇ Barros;19/05/2019;146.79;2.01
Davi Lucas Alves;17/04/1963;135.61;1.86
Daniela Teixeira;09/05/1934;78.73;1.86
Miguel Arag∆o;02/08/2001;138.24;1.72
Nicolas Barbosa;17/01/1905;74.03;1.4
Pietro Azevedo;09/03/1902;60.42;1.87
Srta. Lara Cavalcanti;25/11/1958;136.48;1.99
Vitor Moura;16/03/1918;110.22;2.03
Vitor Nascimento;01/12/1990;144.3;1.48
Maria Julia Barbosa;22/09/1922;55.36;1.43
Gustavo Henrique da Rosa;25/10/1968;50.27;1.6
Breno Viana;02/12/1903;73.47;1.6
L°via Ferreira;12/06/2005;77.62;1.94
Isabella Gonáalves;03/05/1966;75.39;1.94
Luigi Martins;14/09/1962;125.67;1.7
Rebeca Azevedo;15/05/1938;48.13;1.66
Thomas Correia;29/04/1938;120.73;1.93
Thales da Cruz;31/05/1955;103.02;1.48
Maria Fernanda Teixeira;02/10/1961;82.23;1.76
Luiz Felipe Silveira;06/09/1999;104.25;1.85
Heitor Porto;09/06/1939;121.41;1.74
Theo Rezende;12/02/2015;100.78;1.9
Luana Caldeira;23/09/1964;139.46;1.42
Joana Freitas;25/06/2000;90.72;1.63
Bernardo da Mata;14/05/1941;46.47;1.79
Beatriz Nascimento;04/12/1996;143.97;1.48
Ana Rodrigues;22/03/1976;120.06;1.87
Luiz Fernando Silveira;06/04/1962;69.11;2.02
Julia Lopes;04/03/1998;62.53;1.96
Cauà da Cruz;23/02/1957;127.99;2
Lara Pereira;30/12/1995;47.51;1.64
Matheus das Neves;16/05/1977;55.89;1.99
Valentina Gomes;08/12/1914;82.23;1.47
Pedro Henrique Almeida;05/05/1941;100.92;2.01
Giovanna Barbosa;18/09/1976;86.84;1.98
Sra. Let°cia da Cruz;30/07/1982;100.39;1.41
Sophia Jesus;29/09/1913;131.04;2.03
Isabel da Rocha;29/09/1996;64.61;1.72
Helena Moraes;13/07/1925;95.44;1.89
Theo Moura;08/04/1946;111.05;1.8
Ana J£lia Souza;25/02/1934;82.28;1.48
L°via da Costa;09/02/1962;77.57;1.6
Thales Almeida;21/02/1965;135.3;1.54
Rafael Peixoto;26/01/1911;51;1.89
Caroline Oliveira;01/05/1960;72.82;2.08
Ian Jesus;08/03/1999;100.76;1.73
Nina Costa;27/03/1925;87.61;1.52
Sra. Mariane Moraes;26/12/2015;49.88;1.67
Isadora Teixeira;16/01/1934;146.11;1.83
Pietra da Rosa;30/12/1913;57.4;1.92
Marina Vieira;09/02/1928;53.36;1.93
Stella da Rocha;10/02/1985;49.77;2.03
Lucas Peixoto;24/02/1996;114.24;1.44
Juliana Carvalho;17/10/1972;50.63;1.52
Mariane Almeida;19/08/1934;127.8;1.8
Caroline Duarte;19/12/1993;75.43;1.72
Bryan Carvalho;08/08/1932;80.14;2.1
Lucas Gabriel da Conceiá∆o;25/10/1945;82.29;1.94
Luiz Fernando Carvalho;29/01/1971;65.4;1.61
Mariane Cardoso;04/01/2008;94.93;2.07
La°s Pires;08/08/2001;55.37;1.83
Helena Pinto;16/08/1981;146.69;1.42
Isadora Duarte;06/03/1957;109.6;1.7
Pedro Miguel da Rosa;09/02/1994;45.01;1.49
Juliana Correia;04/11/1953;109.53;1.44
Cau∆ Dias;24/09/1930;135.66;2.05
Luiz Henrique Ramos;21/07/2005;87.89;1.92
Nat†lia da Costa;31/03/2005;128.76;2
Raul Cunha;18/11/2020;146.49;1.5
Alana Barros;04/09/1974;142.69;1.64
Davi Luiz Barbosa;25/01/1996;118.09;1.87
Anthony Carvalho;18/04/1922;84.48;1.91
Samuel Lima;01/01/2009;71.95;1.45
Rodrigo Arag∆o;20/03/1974;49.59;1.69
Vit¢ria da Cunha;18/07/1909;105.07;1.59
Ana L°via Novaes;22/07/1981;80.78;1.51
Milena Teixeira;25/09/1986;106.77;1.83
Srta. Ana Beatriz Costa;14/02/1927;74.92;1.64
Ana Sophia Peixoto;13/01/1917;53.64;2.09
Julia Pereira;14/08/1977;72.37;1.94
Maria Vit¢ria Campos;29/12/2023;138.03;2.01
Gustavo Caldeira;04/09/1962;68;1.59
Ana Beatriz Carvalho;27/05/2019;144.14;2.06
Thomas Correia;03/05/1937;106.44;2.07
Srta. Isabelly da Cunha;30/09/1994;48.85;1.85
Ben°cio Martins;26/04/1968;89.13;1.47
Maria Clara Pires;01/10/1913;115.5;2.06
Ana Sales;21/10/2007;103.8;1.98
Lucca Moraes;26/02/1914;62.34;1.79
Alexandre Ara£jo;30/08/1920;64.35;1.8
Stephany Lopes;21/12/1958;143.71;1.99
Yuri Moreira;07/06/1951;122.17;2.06
Caroline Carvalho;16/10/2002;99.89;1.96
Ana Beatriz Gomes;21/02/2008;114.38;2.05
Augusto Moraes;24/11/1999;121.01;1.54
Leonardo Teixeira;09/06/1916;77.26;1.88
Sra. Maria Julia Moura;06/05/1934;103.36;1.52
Lucas Gabriel Freitas;14/02/1994;89.82;1.55
Eduardo Carvalho;11/02/1943;130.83;1.82
Pietro Moura;18/02/1907;100.05;1.4
Davi Lucas da Cruz;22/10/1945;146.71;1.62
Agatha Pires;01/09/1974;49.61;1.46
Julia Teixeira;22/06/2021;107.89;1.46
Emilly Campos;10/11/1933;89.15;1.56
Emanuella Nascimento;18/03/2011;48.84;1.84
Luiz Miguel Silva;26/01/1907;50.83;1.81
Breno Sales;08/09/1975;78.83;2.04
Anthony Sales;15/06/2020;123.84;1.97
Rafael Costa;19/07/1970;119.58;1.7
Benjamin Fernandes;27/02/1972;97.59;1.82
Leandro Costela;06/07/1982;110.3;1.64
Alice Freitas;23/01/1923;146.71;1.57
Rafael Moreira;28/10/1955;132;1.49
B†rbara Nunes;06/12/1997;115.53;1.79
Dra. Lav°nia da Luz;12/10/1920;127.3;1.61
Mariane da Costa;06/06/1959;110.02;1.53
Marcelo Jesus;08/02/2023;84.24;1.6
Maria Sophia Costa;15/02/1934;100.75;1.85
Breno Moreira;24/07/1904;41.4;1.84
Srta. Maità Melo;13/12/1968;116.1;1.76
Alexandre Ferreira;04/06/1915;61.76;1.6
Nathan Caldeira;14/09/1982;84.15;1.48
Caroline Barros;01/11/1912;107.49;1.89
Dra. Sophia Alves;01/07/1998;97.41;1.51
Luiza Cunha;03/11/1947;108.56;1.93
Nicolas da Luz;05/06/1982;106.59;1.54
Carlos Eduardo Santos;24/04/1909;105.33;1.54
Igor Pereira;24/04/1957;57.44;1.8
Lucca Souza;20/09/1919;149.25;1.77
Mariane Caldeira;07/08/1951;137.82;1.55
Anthony Ferreira;31/05/1913;115.61;1.74
Jo∆o Campos;22/02/2021;46.82;1.49
Larissa Carvalho;30/09/2006;80.97;2.09
Maysa Rezende;27/11/1922;129.12;1.45
Ana Santos;30/05/1947;121.35;1.61
Ana Laura Pires;30/08/1952;53.93;1.6
Jo∆o Lucas Mendes;07/06/1988;110.77;1.47
Jo∆o Lucas Nogueira;05/11/1952;59.05;1.94
Sra. Pietra Alves;21/11/1968;143.79;1.69
Jo∆o Felipe Gonáalves;17/03/1999;61.3;1.81
Gabriela da Conceiá∆o;22/08/1975;70.17;1.58
Sarah das Neves;16/12/2023;126.79;1.83
Anthony Campos;26/09/1978;113.56;1.81
Emanuel Porto;08/04/1973;120.05;2.03
Dra. Ana L°via Santos;07/09/1962;131.37;1.86
Clara Alves;04/11/1930;90.76;1.98
Luna Ara£jo;14/01/1923;134.01;1.58
Marcos Vinicius Monteiro;20/06/1983;78.7;1.95
Esther Lima;30/01/1954;88.1;1.44
Erick Novaes;29/05/1986;46.77;1.66
Dra. Maria Alice Correia;10/10/1985;97.02;2
Nat†lia Mendes;22/10/1980;76.16;1.76
Davi Lucca da Mota;26/07/1971;124.08;1.87
Maria Alice Costela;15/10/1996;96.35;1.55
Yuri da Costa;09/03/1978;134.48;1.87
Srta. Sophie Barros;23/11/1948;113.63;1.76
Enzo Costa;09/12/1962;97.15;1.53
Luiz Fernando Santos;02/05/1969;67.89;1.45
Daniela Jesus;06/05/1985;144.56;1.81
Dra. Isabel Almeida;06/05/2021;92.38;1.95
Ben°cio Teixeira;14/09/1933;61.13;1.76
Francisco da Mata;17/04/2004;94.88;1.74
Isabelly Melo;07/04/1978;125.68;1.46
Srta. Marina Barros;04/04/1993;58.42;1.59
Davi da Costa;05/06/1990;112.29;2.08
Vicente Correia;22/08/1996;41.68;1.92
Igor Dias;23/11/1920;66.6;1.4
Bernardo Moura;25/11/1930;64.06;1.92
Nat†lia da Rocha;10/04/2000;92.76;1.81
Pedro Miguel Cavalcanti;23/09/1975;149.42;1.67
Bernardo Correia;03/08/1973;123.74;2.02
Vinicius da Cruz;04/02/1931;97.52;1.79
Kevin Castro;06/11/2003;64.79;1.75
Kevin Castro;07/09/1915;133.23;1.89
